match_id,competition,team,sub_minute,score_diff,is_home,time_remaining,sub_sequence,game_phase,position_name,position_group,team_xg_prev15,opp_xg_prev15,xg_diff_prev15,shots_prev15,passes_prev15,pressures_prev15,team_xg_next15,opp_xg_next15,xg_diff_next15,impact_score,impact_label,game_phase_enc,position_group_enc
3895348,Bundesliga 2023/2024,Augsburg,73,-1,0,17,2,61-75,Left Center Forward,FW,0.1135,0.4718,-0.3583,2,75,18,0.3329,0.138,0.1949,0.5532,Positive,2,0
3895348,Bundesliga 2023/2024,Augsburg,73,-1,0,17,3,61-75,Center Attacking Midfield,MF,0.1135,0.4718,-0.3583,2,75,18,0.3329,0.138,0.1949,0.5532,Positive,2,1
3895348,Bundesliga 2023/2024,Bayer Leverkusen,81,1,1,9,5,76-90+,Right Wing Back,FW,0.2412,0.2414,-0.0002,4,95,19,0.2205,0.0915,0.129,0.1292,Positive,3,0
3895220,Bundesliga 2023/2024,Darmstadt 98,64,-2,1,26,1,61-75,Left Midfield,MF,0.0,0.2906,-0.2906,0,80,35,0.0132,0.3098,-0.2966,-0.006,Neutral,2,1
3895220,Bundesliga 2023/2024,Darmstadt 98,66,-2,1,24,2,61-75,Left Center Forward,FW,0.0,0.2404,-0.2404,0,65,33,0.0132,0.274,-0.2608,-0.0204,Neutral,2,0
3895220,Bundesliga 2023/2024,Darmstadt 98,66,-2,1,24,3,61-75,Left Defensive Midfield,MF,0.0,0.2404,-0.2404,0,65,33,0.0132,0.274,-0.2608,-0.0204,Neutral,2,1
3895220,Bundesliga 2023/2024,Bayer Leverkusen,75,2,0,15,1,61-75,Left Attacking Midfield,MF,0.2557,0.0,0.2557,5,154,14,0.0986,0.0132,0.0854,-0.1703,Negative,2,1
3895220,Bundesliga 2023/2024,Darmstadt 98,80,-2,1,10,4,76-90+,Left Center Back,DF,0.0132,0.2791,-0.2659,1,43,53,0.0,0.1762,-0.1762,0.0897,Neutral,3,2
3895220,Bundesliga 2023/2024,Darmstadt 98,80,-2,1,10,5,76-90+,Right Defensive Midfield,MF,0.0132,0.2791,-0.2659,1,43,53,0.0,0.1762,-0.1762,0.0897,Neutral,3,1
3895250,Bundesliga 2023/2024,Bayer Leverkusen,55,0,1,35,1,31-60,Right Attacking Midfield,MF,0.1445,0.6513,-0.5068,4,100,11,0.1037,0.0393,0.0644,0.5712,Positive,1,1
3895250,Bundesliga 2023/2024,FSV Mainz 05,58,0,0,32,1,31-60,Right Wing Back,FW,0.6513,0.0521,0.5992,3,49,29,0.0393,0.1037,-0.0644,-0.6636,Negative,1,0
3895250,Bundesliga 2023/2024,FSV Mainz 05,63,0,0,27,2,61-75,Right Attacking Midfield,MF,0.5213,0.1328,0.3885,2,36,32,0.0393,0.0063,0.033,-0.3555,Negative,2,1
3895250,Bundesliga 2023/2024,Bayer Leverkusen,82,1,1,8,2,76-90+,Right Attacking Midfield,MF,0.0063,0.0,0.0063,1,116,12,0.0291,0.0813,-0.0522,-0.0585,Neutral,3,1
3895250,Bundesliga 2023/2024,FSV Mainz 05,82,-1,0,8,3,76-90+,Center Forward,FW,0.0,0.0063,-0.0063,0,58,16,0.0813,0.0291,0.0522,0.0585,Neutral,3,0
3895250,Bundesliga 2023/2024,Bayer Leverkusen,82,1,1,8,3,76-90+,Right Wing Back,FW,0.0063,0.0,0.0063,1,116,12,0.0291,0.0813,-0.0522,-0.0585,Neutral,3,0
3895266,Bundesliga 2023/2024,Wolfsburg,31,0,0,59,1,31-60,Center Forward,FW,0.137,0.1896,-0.0526,2,66,3,0.0,0.9597,-0.9597,-0.9071,Negative,1,0
3895266,Bundesliga 2023/2024,Bayer Leverkusen,58,1,1,32,1,31-60,Left Back,DF,0.0251,0.0,0.0251,1,196,13,0.1122,0.0,0.1122,0.0871,Neutral,1,2
3895266,Bundesliga 2023/2024,Wolfsburg,61,-1,0,29,2,61-75,Center Forward,FW,0.0,0.0251,-0.0251,0,44,28,0.0,0.1582,-0.1582,-0.1331,Negative,2,0
3895266,Bundesliga 2023/2024,Wolfsburg,62,-1,0,28,3,61-75,Right Center Midfield,MF,0.0,0.0805,-0.0805,0,42,27,0.0,0.1028,-0.1028,-0.0223,Neutral,2,1
3895266,Bundesliga 2023/2024,Bayer Leverkusen,75,1,1,15,2,61-75,Right Wing,FW,0.1582,0.0,0.1582,5,169,20,0.4533,0.0,0.4533,0.2951,Positive,2,0
3895266,Bundesliga 2023/2024,Bayer Leverkusen,75,1,1,15,3,61-75,Center Forward,FW,0.1582,0.0,0.1582,5,169,20,0.4533,0.0,0.4533,0.2951,Positive,2,0
3895275,Bundesliga 2023/2024,Freiburg,60,-2,1,30,1,31-60,Left Wing,FW,0.0921,0.3249,-0.2328,1,49,17,0.0,0.361,-0.361,-0.1282,Negative,1,0
3895275,Bundesliga 2023/2024,Freiburg,60,-2,1,30,2,31-60,Center Back,DF,0.0921,0.3249,-0.2328,1,49,17,0.0,0.361,-0.361,-0.1282,Negative,1,2
3895275,Bundesliga 2023/2024,Freiburg,60,-2,1,30,3,31-60,Center Forward,FW,0.0921,0.3249,-0.2328,1,49,17,0.0,0.361,-0.361,-0.1282,Negative,1,0
3895275,Bundesliga 2023/2024,Freiburg,75,-2,1,15,4,61-75,Left Defensive Midfield,MF,0.0,0.361,-0.361,0,49,28,0.2314,0.5809,-0.3495,0.0115,Neutral,2,1
3895275,Bundesliga 2023/2024,Freiburg,75,-2,1,15,5,61-75,Right Wing,FW,0.0,0.361,-0.361,0,49,28,0.2314,0.5809,-0.3495,0.0115,Neutral,2,0
3895275,Bundesliga 2023/2024,Bayer Leverkusen,75,2,0,15,1,61-75,Center Forward,FW,0.361,0.0,0.361,3,110,18,0.5809,0.2314,0.3495,-0.0115,Neutral,2,0
3895275,Bundesliga 2023/2024,Bayer Leverkusen,82,1,0,8,2,76-90+,Right Wing Back,FW,0.7957,0.2314,0.5643,4,97,28,0.1462,0.1083,0.0379,-0.5264,Negative,3,0
3895275,Bundesliga 2023/2024,Bayer Leverkusen,82,1,0,8,3,76-90+,Right Attacking Midfield,MF,0.7957,0.2314,0.5643,4,97,28,0.1462,0.1083,0.0379,-0.5264,Negative,3,1
3895180,Bundesliga 2023/2024,Eintracht Frankfurt,63,-3,0,27,1,61-75,Center Back,DF,0.0,1.4639,-1.4639,0,69,23,0.0527,0.2025,-0.1498,1.3141,Positive,2,2
3895180,Bundesliga 2023/2024,Eintracht Frankfurt,63,-3,0,27,2,61-75,Left Defensive Midfield,MF,0.0,1.4639,-1.4639,0,69,23,0.0527,0.2025,-0.1498,1.3141,Positive,2,1
3895180,Bundesliga 2023/2024,Bayer Leverkusen,71,3,1,19,1,61-75,Center Forward,FW,0.3984,0.0527,0.3457,2,132,18,0.8729,0.0,0.8729,0.5272,Positive,2,0
3895180,Bundesliga 2023/2024,Eintracht Frankfurt,71,-3,0,19,3,61-75,Right Wing,FW,0.0527,0.3984,-0.3457,1,63,19,0.0,0.8729,-0.8729,-0.5272,Negative,2,0
3895180,Bundesliga 2023/2024,Eintracht Frankfurt,72,-3,0,18,4,61-75,Left Defensive Midfield,MF,0.0527,0.069,-0.0163,1,59,18,0.0,0.8729,-0.8729,-0.8566,Negative,2,1
3895180,Bundesliga 2023/2024,Bayer Leverkusen,82,3,1,8,2,76-90+,Left Defensive Midfield,MF,0.3966,0.0527,0.3439,5,100,27,0.7651,0.032,0.7331,0.3892,Positive,3,1
